,time,user_followers,Polarity,Subjectivity,BERT_SCORE,Vader_Comp,Vader_Pos,Vader_Neg,Vader_Neu,W_Vad_Pos,W_Vad_Neg,W_Vad_Neu,W_Vad_Comp,W_BERT_SCORE,W_Polarity,W_Subjectivity,W_BERT_Label,high,low,open,volumefrom,volumeto,close,Change_2hr,Change_Pct_2hr,Change_Cat_2hr,Change_Lag_1hr,Change_Lag_2hr,Change_Lag_3hr
0,2021-02-05 10:00:00,15766.0,0.48,2.22,3.6214582324028015,0.6656,0.383,0.327,3.289,1301.925,941.382,13513.016,1596.9236999999998,14282.2557695508,113.12,5441.679999999999,0.0,37675.34,37240.39,37287.4,1337.86,50153212.54,37446.83,463.35,1.237354404,1,1.0,1.0,-1.0
1,2021-02-05 12:00:00,27566.0,-0.1708333333333334,1.9708333333333328,5.434702038764954,0.8739,0.711,0.136,5.1530000000000005,2595.365,559.64,24410.995000000003,6367.5699,24602.52588248253,2986.470833333332,10367.029166666664,-4115.0,38167.06,37589.65,37722.95,3212.25,121996319.1,37910.18,243.34,0.641885636,1,-1.0,-1.0,-1.0
2,2021-02-05 14:00:00,74239.0,0.6299999999999999,3.228333333333333,8.38326621055603,0.4837000000000001,0.611,0.548,9.841,5061.521999999999,869.488,68307.99,9700.6956,63755.63462179899,-925.08,6705.18,1094.0,38339.03,38033.76,38332.85,3035.37,115949768.8,38153.52,-329.79,-0.8643763406,-1,-1.0,1.0,-1.0
3,2021-02-05 16:00:00,7812.0,0.4,2.8,5.020552068948746,1.3582999999999998,0.456,0.0,5.5440000000000005,468.1050000000001,0.0,7343.895,1656.9604999999997,6741.774699062109,-1007.0583333333334,3903.308333333333,316.0,38185.56,37712.6,37998.05,3345.05,126999232.8,37823.73,-415.98,-1.099785769,-1,-1.0,1.0,1.0
4,2021-02-05 18:00:00,12322.0,-0.2,0.25,4.118005633354187,-0.6298,0.106,0.369,4.525,85.75399999999999,356.946,11879.3,-645.3677,10934.457803308964,-218.8,273.5,1094.0,37942.85,37372.29,37923.24,2816.16,106111142.8,37407.75,364.93,0.9755465111,1,1.0,1.0,-1.0
5,2021-02-05 20:00:00,9216.0,0.8689393939393939,3.5683333333333334,9.294697999954224,1.0654,0.596,0.16,10.245,794.915,255.2,8167.48,1083.8564,7895.048826158048,1194.4196969696968,4354.846666666666,-1595.0,37814.97,37544.74,37652.5,1295.17,48812088.15,37772.68,58.95,0.1560651773,1,-1.0,1.0,1.0
6,2021-02-05 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37999.76,37714.9,37855.18,1373.24,52028043.24,37831.63,937.12,2.477080686,1,1.0,1.0,1.0
7,2021-02-06 10:00:00,1118.0,0.525,1.7444444444444445,4.506886661052704,1.4423,0.527,0.0,4.473,122.122,0.0,995.878,228.8097,944.7946802973748,92.775,655.8555555555556,0.0,40070.36,39602.24,39932.73,3787.17,151122173.8,40068.34,-71.86,-0.1793435915,-1,-1.0,1.0,1.0
8,2021-02-06 12:00:00,39726.0,0.1552525252525253,2.4523232323232325,12.228422939777374,0.5003,0.5740000000000001,0.408,13.018,2155.638,3011.076,34559.286,-4629.4791,34716.85379344225,2435.4755555555544,8613.14111111111,0.0,40501.21,39978.84,40244.07,2299.59,92552334.72,39996.48,345.82,0.8646260871,1,1.0,1.0,-1.0
9,2021-02-06 14:00:00,86301.0,-0.0136363636363635,1.8545454545454545,5.770479679107666,1.6979000000000002,0.8739999999999999,0.168,6.958,323.684,231.336,85745.98,11.541700000000048,50197.11788511276,-160.7136363636363,5153.579545454546,4468.0,40602.44,40177.6,40177.6,2111.17,85351304.8,40342.3,321.99,0.7981448752,1,-1.0,-1.0,1.0
10,2021-02-06 16:00:00,9439.0,0.3199999999999999,1.191111111111111,4.697454899549484,1.7145,0.839,0.164,4.997,1384.578,210.084,7844.338,2915.2212,8022.268155217171,256.34333333333325,1377.4399999999998,0.0,40989.11,40545.93,40924.52,3287.05,134097719.7,40664.29,-323.47,-0.7954645218,-1,1.0,-1.0,-1.0
